#,Champion,Games,Wins,Losses,Winrate,Kill,Death,Assist,KDA,Gold,CS,Double Kill,Triple Kill,Quadra Kill,Penta Kill,Max Kills,Max Deaths,Average Damage Dealt,Average Damage Taken
66,Elise,11,6,5,54.55,6.1,6.26,8.74,2.37,11861.67,76.63,5,0,0,0,11,12,81577.0,16823.67
67,Jhin,10,9,1,90.0,7.9,5.0,8.4,3.26,13025.0,176.7,6,1,0,0,15,9,158063.0,20388.0
68,Kai'Sa,10,9,1,90.0,13.2,4.5,7.2,4.53,14299.0,189.3,26,5,1,0,25,11,160693.0,18927.0
69,Xerath,10,4,6,40.0,5.4,6.72,8.13,2.01,11303.75,138.95,4,1,0,0,17,17,134238.75,15958.0
70,Garen,10,3,7,30.0,6.92,5.72,7.9,2.59,11703.8,136.72,1,0,0,0,11,7,103687.0,36664.2
71,Tristana,9,7,2,77.78,12.6,3.7,6.4,5.14,14265.0,192.7,17,3,0,0,18,9,169898.0,17877.0
72,Sylas,9,6,3,66.67,5.9,8.1,7.8,1.69,10350.0,128.3,4,0,0,0,13,13,130218.0,28822.0
73,Nidalee,9,5,4,55.56,9.56,6.33,6.33,2.51,13500.25,101.08,6,1,0,0,17,10,152125.5,27829.75
74,Urgot,9,5,4,55.56,6.7,5.8,7.2,2.4,10742.0,136.9,8,0,0,0,11,8,138279.0,26112.0
75,Kennen,9,3,6,33.33,6.3,7.9,7.8,1.78,9856.0,112.3,6,1,0,0,11,16,75425.0,20578.0
76,Mordekaiser,9,3,6,33.33,3.9,6.13,4.57,1.38,8682.0,133.4,2,0,0,0,9,10,95480.5,12585.5
77,Rek'Sai,9,3,6,33.33,6.22,8.78,9.67,1.81,8850.4,58.68,1,0,0,0,12,14,79370.0,23426.2
78,Ryze,8,6,2,75.0,7.5,8.38,9.25,2.0,11782.33,117.87,4,2,0,0,16,16,95411.33,20887.67
79,Nasus,8,5,3,62.5,6.38,5.5,6.75,2.39,11770.0,151.2,3,0,0,0,9,9,131280.33,35861.33
80,Tryndamere,8,4,4,50.0,11.0,7.8,7.0,2.31,14182.0,157.8,7,0,0,0,20,13,191692.0,41733.0
81,Cassiopeia,8,3,5,37.5,7.0,4.4,4.1,2.52,11659.0,198.1,5,0,0,0,14,6,153403.0,20920.0
82,Gragas,8,2,6,25.0,3.0,8.75,7.4,1.19,8790.25,78.2,0,0,0,0,6,15,94423.25,32686.0
83,Rakan,8,2,6,25.0,2.28,6.35,10.73,2.05,8312.0,17.6,0,0,0,0,6,11,20805.0,17167.0
84,Talon,7,5,2,71.43,10.6,8.14,11.74,2.74,14690.0,164.33,4,0,0,0,16,15,147769.67,33048.67
85,Akali,7,3,4,42.86,7.0,8.6,6.7,1.59,10119.0,84.7,8,1,1,0,11,14,68064.0,25534.0
86,Ezreal,7,3,4,42.86,8.84,8.43,8.3,2.03,14260.5,165.0,3,1,0,0,18,14,161241.75,26063.5
87,Graves,7,3,4,42.86,6.86,5.43,6.57,2.47,12318.0,198.87,8,0,0,0,11,8,157854.33,23070.33
88,Karma,7,3,4,42.86,3.86,8.01,9.16,1.62,10683.75,51.58,0,0,0,0,11,17,58578.0,21323.75
89,Twitch,7,3,4,42.86,7.86,8.89,8.03,1.79,10250.0,104.93,2,1,1,1,20,11,97689.0,25452.33
90,Gangplank,7,2,5,28.57,9.13,8.13,13.44,2.78,14329.5,161.65,4,0,0,0,31,12,147377.0,34920.5
91,Master Yi,7,1,6,14.29,11.29,7.03,4.4,2.23,14095.5,84.15,10,1,1,0,20,10,191669.5,31155.0
92,Ivern,6,5,1,83.33,3.3,4.8,18.7,4.58,9980.0,113.2,1,1,0,0,7,8,333209.0,18297.0
93,Irelia,6,2,4,33.33,8.83,6.33,3.83,2.0,14188.0,234.8,8,1,0,0,14,17,178512.0,45048.5
94,Veigar,6,2,4,33.33,5.33,8.17,6.0,1.39,9113.4,92.7,0,0,0,0,17,14,70240.0,18568.0
95,Corki,5,3,2,60.0,10.58,6.62,11.02,3.26,15364.5,203.25,6,1,0,0,25,9,161448.5,20557.5
96,Diana,5,3,2,60.0,7.0,7.64,10.64,2.31,11348.5,44.75,3,0,0,0,9,9,129014.5,23192.5
97,Kalista,5,3,2,60.0,6.42,4.58,6.4,2.8,10626.5,180.6,2,0,0,0,16,7,129725.0,16011.5
98,Sona,5,1,4,20.0,2.2,6.4,11.4,2.12,7790.0,11.33,1,0,0,0,4,11,22753.67,14416.67
99,Sivir,4,3,1,75.0,9.5,7.0,6.8,2.33,12679.0,181.5,8,2,0,0,18,11,167663.0,19390.0
100,Swain,4,3,1,75.0,6.22,10.98,14.25,1.87,10074.0,40.85,3,0,0,0,10,16,52364.5,31728.5
101,Syndra,4,3,1,75.0,10.3,6.3,8.8,3.03,12650.0,159.0,5,0,0,0,20,7,149655.0,17529.0
102,Neeko,4,2,2,50.0,4.3,7.3,10.3,2.0,9048.0,78.3,1,0,0,0,10,12,75011.0,17213.0
103,Viktor,4,2,2,50.0,4.75,7.75,4.75,1.23,9764.0,135.5,2,1,0,0,10,15,95281.0,16133.0
104,Karthus,4,1,3,25.0,4.5,9.0,8.5,1.44,11387.5,165.75,0,0,0,0,6,12,155591.5,26176.5
105,Varus,4,1,3,25.0,5.0,6.25,5.75,1.72,10868.33,137.17,2,1,0,0,16,10,134948.67,20225.0
106,Zilean,4,1,3,25.0,2.25,7.75,6.0,1.06,9678.75,93.75,0,0,0,0,4,13,85863.25,22712.0
107,Dr. Mundo,4,0,4,0.0,3.25,6.5,14.25,2.69,10923.33,92.33,2,0,0,0,9,8,78625.67,44703.33
108,Rumble,3,2,1,66.67,7.67,9.33,13.67,2.29,13501.33,148.33,2,1,0,0,15,14,139952.0,31264.67
109,Teemo,3,2,1,66.67,7.0,6.67,5.67,1.9,9323.0,119.0,1,0,0,0,13,7,73526.0,16205.5
110,Anivia,3,1,2,33.33,6.0,7.33,8.33,1.95,14838.5,228.25,1,0,0,0,10,9,193691.5,36398.0
111,Pyke,3,1,2,33.33,3.7,7.7,6.3,1.3,9077.0,49.3,1,0,0,0,8,10,32318.0,20956.0
112,Ziggs,3,1,2,33.33,8.3,3.3,5.7,4.24,11661.0,175.0,5,0,0,0,18,6,159064.0,12274.0
113,Kassadin,3,0,3,0.0,6.0,4.33,4.0,2.31,9819.0,135.25,0,0,0,0,6,4,37038.0,9745.5
114,Bard,2,1,1,50.0,2.5,4.5,8.0,2.33,9760.0,15.5,0,0,0,0,3,6,28015.0,19301.0
115,Galio,2,1,1,50.0,1.0,8.0,14.0,1.88,9859.5,51.0,0,0,0,0,1,9,60220.5,26921.5
116,Kog'Maw,2,1,1,50.0,8.0,5.5,7.0,2.73,13533.0,191.0,2,1,0,0,11,9,165379.0,20694.0
