#,Champion,Games,Wins,Losses,Winrate,Kill,Death,Assist,KDA,Gold,CS,Double Kill,Triple Kill,Quadra Kill,Penta Kill,Max Kills,Max Deaths,Average Damage Dealt,Average Damage Taken
98,Cho'Gath,27,12,15,44.44,5.78,4.35,6.77,2.88,10811.8,167.08,4,0,0,0,14,10,127583.6,28420.0
99,Soraka,26,18,8,69.23,2.23,4.21,13.51,3.74,8293.71,57.1,4,0,0,0,8,9,41724.71,14105.43
100,Poppy,26,14,12,53.85,3.69,3.91,8.13,3.03,9773.14,142.89,3,0,0,0,13,8,99127.0,21903.86
101,Ivern,25,16,9,64.0,3.45,4.15,13.5,4.09,11137.5,115.5,0,0,0,0,8,8,424627.0,16426.5
102,Gwen,25,15,10,60.0,3.89,4.08,5.26,2.24,9799.5,178.45,5,2,0,0,10,11,111635.0,22892.0
103,Kindred,25,8,17,32.0,5.02,5.59,6.6,2.08,11232.71,125.16,3,0,0,0,12,14,156545.29,24522.43
104,Mordekaiser,24,11,13,45.83,4.0,6.18,5.09,1.47,12167.0,231.84,2,0,0,0,9,15,157927.4,19896.2
105,Lulu,24,9,15,37.5,3.7,4.77,8.07,2.47,10252.57,170.19,2,0,0,0,10,10,99269.86,18270.57
106,Hecarim,23,10,13,43.48,5.31,4.68,6.65,2.55,10059.89,133.21,3,0,0,0,13,15,119255.11,28914.33
107,Xin Zhao,22,8,14,36.36,4.76,4.55,6.58,2.49,10865.33,150.0,3,0,0,0,13,8,135251.17,31505.67
108,Aphelios,22,5,17,22.73,4.61,5.71,5.61,1.79,10975.0,203.78,9,3,0,0,15,10,127871.25,14803.5
109,Karthus,21,12,9,57.14,7.2,4.2,6.7,3.3,13437.57,230.54,11,4,0,0,13,12,203706.0,24614.57
110,Gnar,20,12,8,60.0,4.42,4.79,5.36,2.04,10815.86,201.44,4,1,0,0,11,10,125988.0,23215.29
111,Tahm Kench,19,10,9,52.63,2.68,4.36,10.96,3.13,8066.0,65.36,2,1,0,0,9,9,40645.12,22879.12
112,Urgot,19,6,13,31.58,4.64,4.02,4.63,2.31,8734.75,178.0,8,0,0,0,14,8,88152.25,16349.25
113,Akshan,18,9,9,50.0,5.96,5.69,4.53,1.84,10467.0,165.67,13,1,0,0,13,11,105997.33,16255.33
114,Kayle,18,8,10,44.44,3.66,4.34,5.84,2.19,10803.29,199.99,1,0,0,0,7,9,135248.29,19041.71
